Ville;Région;Pays;Zone géographique;ID Zone Géo
Olivet;Centre-Val de Loire;France;Centre;2
Lanester;Bretagne;France;Centre;2
Cagnes-sur-Mer;Provence-Alpes-Côte d'Azur;France;Centre;2
Bourgoin-Jallieu;Auvergne-Rhône-Alpes;France;Centre;2
Brive-la-Gaillarde;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Illkirch-Graffenstaden;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Castelnau-le-Lez;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Saumur;Pays de la Loire;France;Centre;2
Saint-Cyr-sur-Loire;Centre-Val de Loire;France;Centre;2
Saint-Dizier;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Le Petit-Quevilly;Normandie;France;Centre;2
Auch;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Troyes;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Lingolsheim;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Plaisance-du-Touch;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Salon-de-Provence;Provence-Alpes-Côte d'Azur;France;Centre;2
Loos;Nord-Pas-de-Calais-Picardie;France;Centre;2
Lisieux;Normandie;France;Centre;2
Caluire-et-Cuire;Auvergne-Rhône-Alpes;France;Centre;2
Douarnenez;Bretagne;France;Centre;2
Maubeuge;Nord-Pas-de-Calais-Picardie;France;Centre;2
Mons-en-Baroeul;Nord-Pas-de-Calais-Picardie;France;Centre;2
Aix-les-Bains;Auvergne-Rhône-Alpes;France;Centre;2
Nogent-sur-Oise;Nord-Pas-de-Calais-Picardie;France;Centre;2
Vaulx-en-Velin;Auvergne-Rhône-Alpes;France;Centre;2
Poitiers;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Louviers;Normandie;France;Centre;2
Outreau;Nord-Pas-de-Calais-Picardie;France;Centre;2
Moulins;Auvergne-Rhône-Alpes;France;Centre;2
Ronchin;Nord-Pas-de-Calais-Picardie;France;Centre;2
La Chapelle-sur-Erdre;Pays de la Loire;France;Centre;2
Mont-Saint-Aignan;Normandie;France;Centre;2
Roubaix;Nord-Pas-de-Calais-Picardie;France;Centre;2
Dole;Bourgogne-Franche-Comté;France;Centre;2
Montbrison;Auvergne-Rhône-Alpes;France;Centre;2
Saint-Quentin;Nord-Pas-de-Calais-Picardie;France;Centre;2
Bergerac;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Le Creusot;Bourgogne-Franche-Comté;France;Centre;2
Le Cannet;Provence-Alpes-Côte d'Azur;France;Centre;2
Saint-Pierre-des-Corps;Centre-Val de Loire;France;Centre;2
Blanquefort;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Rouen;Normandie;France;Centre;2
Senlis;Nord-Pas-de-Calais-Picardie;France;Centre;2
Soissons;Nord-Pas-de-Calais-Picardie;France;Centre;2
Allauch;Provence-Alpes-Côte d'Azur;France;Centre;2
Sanary-sur-Mer;Provence-Alpes-Côte d'Azur;France;Centre;2
Tourcoing;Nord-Pas-de-Calais-Picardie;France;Centre;2
Montceau-les-Mines;Bourgogne-Franche-Comté;France;Centre;2
Libourne;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Annecy-le-Vieux;Auvergne-Rhône-Alpes;France;Centre;2
Lannion;Bretagne;France;Centre;2
Issoire;Auvergne-Rhône-Alpes;France;Centre;2
Valenciennes;Nord-Pas-de-Calais-Picardie;France;Centre;2
Lattes;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Cournon-d'Auvergne;Auvergne-Rhône-Alpes;France;Centre;2
Villeneuve-d'Ascq;Nord-Pas-de-Calais-Picardie;France;Centre;2
Voiron;Auvergne-Rhône-Alpes;France;Centre;2
Wasquehal;Nord-Pas-de-Calais-Picardie;France;Centre;2
Wattrelos;Nord-Pas-de-Calais-Picardie;France;Centre;2
Sorgues;Provence-Alpes-Côte d'Azur;France;Centre;2
Fontenay-le-Comte;Pays de la Loire;France;Centre;2
Vernon;Normandie;France;Centre;2
Aix-la-Chapelle;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Cassel;Hesse;Allemagne;Centre;2
Brandebourg-sur-la-Havel;Brandebourg;Allemagne;Centre;2
Heilbronn;Bade-Wurtemberg;Allemagne;Centre;2
Sonneberg;Thuringe;Allemagne;Centre;2
Mayence;Rhénanie-Palatinat;Allemagne;Centre;2
Karlsruhe;Bade-Wurtemberg;Allemagne;Centre;2
Stuttgart;Bade-Wurtemberg;Allemagne;Centre;2
Nuremberg;Bavière;Allemagne;Centre;2
Hambourg;Hambourg;Allemagne;Centre;2
Wiesbaden;Hesse;Allemagne;Centre;2
Berlin;Berlin;Allemagne;Centre;2
Trèves;Rhénanie-Palatinat;Allemagne;Centre;2
Ulm;Bade-Wurtemberg;Allemagne;Centre;2
Celle;Basse-Saxe;Allemagne;Centre;2
Arnsberg;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Offenbach;Hesse;Allemagne;Centre;2
Munich;Bavière;Allemagne;Centre;2
Chemnitz;Saxe;Allemagne;Centre;2
Bergheim;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Bergisch Gladbach;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Bielefeld;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Dresde;Saxe;Allemagne;Centre;2
Leipzig;Saxe;Allemagne;Centre;2
Bochum;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Pforzheim;Bade-Wurtemberg;Allemagne;Centre;2
Augsbourg;Bavière;Allemagne;Centre;2
Neubrandenbourg;Mecklembourg-Poméranie;Allemagne;Centre;2
Wetzlar;Hesse;Allemagne;Centre;2
Magdebourg;Saxe-Anhalt;Allemagne;Centre;2
Zwickau;Saxe;Allemagne;Centre;2
Baden-Baden;Bade-Wurtemberg;Allemagne;Centre;2
Iéna;Thuringe;Allemagne;Centre;2
Aschaffenbourg;Bavière;Allemagne;Centre;2
Kiel;Schleswig-Holstein;Allemagne;Centre;2
Cuxhaven;Basse-Saxe;Allemagne;Centre;2
Weimar;Thuringe;Allemagne;Centre;2
Langen;Hesse;Allemagne;Centre;2
Sindelfingen;Bade-Wurtemberg;Allemagne;Centre;2
Delmenhorst;Basse-Saxe;Allemagne;Centre;2
Erfurt;Thuringe;Allemagne;Centre;2
Brême;Brême;Allemagne;Centre;2
Ludwigshafen;Rhénanie-Palatinat;Allemagne;Centre;2
Emden;Basse-Saxe;Allemagne;Centre;2
Francfort-sur-le-Main;Hesse;Allemagne;Centre;2
Bonn;Rhénanie-du-Nord-Westphalie;Allemagne;Centre;2
Schwerin;Mecklembourg-Poméranie;Allemagne;Centre;2
Ingolstadt;Bavière;Allemagne;Centre;2
Reutlingen;Bade-Wurtemberg;Allemagne;Centre;2
Bad Waldsee;Bade-Wurtemberg;Allemagne;Centre;2
Halle;Saxe-Anhalt;Allemagne;Centre;2
Friedrichshafen;Bade-Wurtemberg;Allemagne;Centre;2
Worms;Rhénanie-Palatinat;Allemagne;Centre;2
Garbsen;Basse-Saxe;Allemagne;Centre;2
